Year,StationID,Replicate,SampleDate,Matrix,Parameter,Field1,Qualifier,Result_Units,Result,MDL,RL,Class,latitude,longitude
2013,B13-9309,1,7/13/13,Sediment,Zinc,,,ug/g dw,67.25978648,0.61,2,METAL,33.97743,-118.87635
2013,B13-9310,1,8/12/13,Sediment,Zinc,,,ug/g dw,35.9,0.25,0.25,METAL,33.982233,-118.81395
2013,B13-9311,1,8/13/13,Sediment,Zinc,,,ug/g dw,99,0.25,0.25,METAL,33.9817,-118.801733
2013,B13-9314,1,9/18/13,Sediment,Zinc,,,ug/g dw,39.05784138,0.61,2,METAL,33.99193,-118.85764
2013,B13-9316,1,8/14/13,Sediment,Zinc,,,ug/g dw,59.32475884,0.61,2,METAL,33.99535,-118.632783
2013,B13-9319,1,7/25/13,Sediment,Zinc,,,ug/g dw,29.78453739,0.61,2,METAL,33.997267,-118.492
2013,B13-9320,1,9/18/13,Sediment,Zinc,,,ug/g dw,44.2,0.25,0.25,METAL,33.99901,-118.86873
2013,B13-9321,1,9/24/13,Sediment,Zinc,,,ug/g dw,48.9,0.25,0.25,METAL,34.00032,-118.81497
2013,B13-9323,1,9/24/13,Sediment,Zinc,,,ug/g dw,26.8125855,0.61,2,METAL,34.00093,-118.82424
2013,B13-9326,1,7/23/13,Sediment,Zinc,,,ug/g dw,50.74183976,0.61,2,METAL,34.004967,-118.766317
2013,B13-9331,1,7/23/13,Sediment,Zinc,,,ug/g dw,66.11295681,0.61,2,METAL,34.013333,-118.6702
2013,B13-9336,1,7/23/13,Sediment,Zinc,,,ug/g dw,45.15195369,0.61,2,METAL,34.019483,-118.742933
2013,B13-9338,1,7/30/13,Sediment,Zinc,,,ug/g dw,38.3518225,0.61,2,METAL,34.0213,-119.22674
2013,B13-9339,1,9/18/13,Sediment,Zinc,,,ug/g dw,36.12673971,0.61,2,METAL,34.02216,-118.86751
2013,B13-9341,1,7/23/13,Sediment,Zinc,,,ug/g dw,46.77661169,0.61,2,METAL,34.0233,-118.593483
2013,B13-9346,1,9/18/13,Sediment,Zinc,,,ug/g dw,15.55275326,0.61,2,METAL,34.03669,-118.9171
2013,B13-9347,1,7/29/13,Sediment,Zinc,,,ug/g dw,45.44138929,0.61,2,METAL,34.03989,-119.23463
2013,B13-9348,1,7/29/13,Sediment,Zinc,,,ug/g dw,61.00519931,0.61,2,METAL,34.0416,-119.19757
2013,B13-9349,1,7/29/13,Sediment,Zinc,,,ug/g dw,28.125,0.61,2,METAL,34.04245,-119.08589
2013,B13-9350,1,7/29/13,Sediment,Zinc,,,ug/g dw,56.97478992,0.61,2,METAL,34.04413,-119.05558
2013,B13-9354,1,7/29/13,Sediment,Zinc,,,ug/g dw,39.67551622,0.61,2,METAL,34.05079,-119.21587
2013,B13-9356,1,9/6/13,Sediment,Zinc,,,ug/g dw,35.76437588,0.61,2,METAL,34.05379,-119.14934
2013,B13-9359,1,9/6/13,Sediment,Zinc,,,ug/g dw,53.37837838,0.61,2,METAL,34.06644,-119.13415
2013,B13-9369,1,9/13/13,Sediment,Zinc,,,ug/g dw,30.90659341,0.61,2,METAL,34.08348,-119.09496
2013,B13-9371,1,9/13/13,Sediment,Zinc,,,ug/g dw,74.20634921,0.61,2,METAL,34.09077,-119.23904
2013,B13-9372,1,8/21/13,Sediment,Zinc,,,ug/g dw,18.37837838,0.61,2,METAL,34.10102,-119.15105
2013,B13-9375,1,8/21/13,Sediment,Zinc,,,ug/g dw,56.17977528,0.61,2,METAL,34.11009,-119.22178
2013,B13-9377,1,8/21/13,Sediment,Zinc,,,ug/g dw,27.86277984,0.61,2,METAL,34.11363,-119.18019
2013,B13-9379,1,9/11/13,Sediment,Zinc,,,ug/g dw,41.22681883,0.61,2,METAL,34.11828,-119.6289
2013,B13-9383,1,8/21/13,Sediment,Zinc,,,ug/g dw,21.78162524,0.61,2,METAL,34.12488,-119.19248
2013,B13-9387,1,9/10/13,Sediment,Zinc,,,ug/g dw,103,0.25,0.25,METAL,34.144,-120.17799
2013,B13-9388,1,9/11/13,Sediment,Zinc,,,ug/g dw,96.3,0.25,0.25,METAL,34.1457,-119.76997
2013,B13-9391,1,9/11/13,Sediment,Zinc,,,ug/g dw,102,0.25,0.25,METAL,34.15835,-119.82779
